"wt.1.NC13.opaKD1.23003FL.09.01.25"	"ac.1.NC13.opaKD1.23003FL.09.01.26"	"dsred.2.NC13.opaKD1.23003FL.09.01.27"	"opa.2.NC13.opaKD1.23003FL.09.01.28"	"opa.3.NC13.opaKD1.23003FL.09.01.29"	"opa.4.NC13.opaKD1.23003FL.09.01.30"	"wt.2.NC13.opaKD3.23003FL.09.02.05"	"ac.2.NC13.opaKD3.23003FL.09.02.06"	"dsred.3.NC13.opaKD3.23003FL.09.02.07"	"dsred.4.NC13.opaKD3.23003FL.09.02.08"	"opa.5.NC13.opaKD3.23003FL.09.02.09"	"wt.3.NC13.opaKD4.23003FL.09.02.13"	"ac.3.NC13.opaKD4.23003FL.09.02.14"	"ac.4.NC13.opaKD4.23003FL.09.02.15"	"opa.6.NC13.opaKD4.23003FL.09.02.16"	"opa.7.NC13.opaKD4.23003FL.09.02.17"	"opa.8.NC13.opaKD4.23003FL.09.02.18"	"opa.9.NC13.opaKD4.23003FL.09.02.19"
"evm.TU.scaffold_1.1135"	1827	1918	1888	2599	1782	1793	339	1220	743	486	1038	612	3271	1605	1462	284	729	783
"evm.TU.scaffold_1.1136"	18	20	11	18	16	10	18	8	5	16	15	16	11	2	13	15	2	26
"evm.TU.scaffold_1.1138"	4	0	0	1	2	4	3	0	0	0	5	9	0	0	6	6	2	0
"evm.TU.scaffold_1.114"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"evm.TU.scaffold_1.1141"	217	332	231	375	201	208	181	223	148	127	119	95	679	389	270	81	235	114
"evm.TU.scaffold_1.1142"	1561	1637	861	1945	1164	1523	1773	1911	2171	1343	2019	1514	4260	3744	2817	3894	3066	4875
"evm.TU.scaffold_1.1143"	294	349	244	276	261	275	168	256	145	171	178	138	378	235	184	26	176	116
"evm.TU.scaffold_1.1144"	1771	2001	1464	1599	1689	2011	1530	2086	1415	1283	1423	1522	2516	2114	1634	650	984	793
"evm.TU.scaffold_1.1145"	356	415	237	528	323	368	234	373	311	333	442	295	488	443	505	645	557	917
"evm.TU.scaffold_1.1146"	763	854	385	737	612	630	774	626	760	797	788	787	1152	1147	900	856	732	1000
"evm.TU.scaffold_1.1147"	842	898	575	1077	761	775	757	752	824	855	842	791	1248	1184	1155	895	711	956
"evm.TU.scaffold_1.1148"	55	24	30	59	19	86	134	46	81	69	55	79	102	132	67	192	61	129
"evm.TU.scaffold_1.1149"	15	4	1	1	4	15	44	1	8	8	11	17	0	4	17	13	0	10
"evm.TU.scaffold_1.115"	2	3	0	5	1	3	7	1	0	2	1	0	0	0	0	0	0	10
"evm.TU.scaffold_1.1150"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1151"	16	40	29	33	56	22	9	5	2	19	29	11	5	2	2	0	6	9
"evm.TU.scaffold_1.1152"	31	52	44	44	75	48	156	7	117	122	62	183	7	5	22	43	13	36
"evm.TU.scaffold_1.1153"	458	376	426	511	334	322	592	331	366	267	252	459	582	609	232	189	107	128
"evm.TU.scaffold_1.1154"	0	0	0	0	0	3	4	8	10	1	6	11	0	3	2	4	0	7
"evm.TU.scaffold_1.1155"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1156"	4035	2992	2399	4351	2667	3501	3672	3653	3121	2944	2936	3293	8216	7053	4580	4477	3562	5407
"evm.TU.scaffold_1.1157"	8	4	16	27	19	21	12	6	10	8	22	5	10	11	8	0	0	0
"evm.TU.scaffold_1.1158"	271	250	224	304	260	254	415	219	469	303	156	398	191	282	208	83	123	131
"evm.TU.scaffold_1.1159"	1285	1015	700	1538	1084	1049	1582	806	1373	1189	967	1586	1067	1197	1133	1282	857	1195
"evm.TU.scaffold_1.1160"	1105	1507	1041	1683	1438	1003	140	474	399	302	651	371	713	500	448	273	415	344
"evm.TU.scaffold_1.1161"	194	318	375	368	241	179	13	79	35	22	50	24	159	38	19	7	38	39
"evm.TU.scaffold_1.1162"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1163"	9	6	1	22	5	0	3	2	0	16	9	10	15	9	14	6	5	0
"evm.TU.scaffold_1.1165"	2	0	6	25	5	6	0	0	0	0	0	0	2	0	0	0	0	0
"evm.TU.scaffold_1.1166"	1109	1538	1476	1737	1302	1243	117	746	442	218	588	289	1358	755	592	100	273	157
"evm.TU.scaffold_1.1167"	22	49	21	44	21	17	10	0	9	10	4	4	19	8	7	0	6	8
"evm.TU.scaffold_1.1168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1169"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.117"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1170"	235	391	331	553	430	362	129	261	207	89	128	141	318	209	190	46	117	126
"evm.TU.scaffold_1.1171"	1	9	7	9	4	8	7	10	5	9	0	1	1	0	3	9	0	5
"evm.TU.scaffold_1.1172"	45	36	33	110	44	28	17	7	29	40	19	28	53	17	33	48	66	36
"evm.TU.scaffold_1.1173"	513	532	372	519	370	596	259	519	374	403	472	354	733	702	651	530	470	710
"evm.TU.scaffold_1.1174"	463	515	402	858	433	482	604	379	681	801	690	733	1025	681	622	529	503	661
"evm.TU.scaffold_1.1178"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1179"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1180"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1181"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1182"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1183"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1184"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1185"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1186"	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1187"	11	26	34	19	35	20	1	9	4	0	10	3	27	28	24	0	4	3
"evm.TU.scaffold_1.1188"	12	8	0	15	8	10	0	11	13	5	10	16	15	22	10	19	1	1
"evm.TU.scaffold_1.119"	0	0	0	2	0	0	1	0	5	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1190_evm.TU.scaffold_1.1191_evm.TU.scaffold_1.1192"	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1193"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1194"	42	143	23	17	42	65	69	55	36	22	11	102	66	86	31	34	26	2
"evm.TU.scaffold_1.1195"	740	792	549	809	970	731	1728	1212	2441	2164	1246	2352	385	978	726	654	291	441
"evm.TU.scaffold_1.1196"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1197"	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0
"evm.TU.scaffold_1.1198"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1199"	3	10	0	0	9	0	6	4	6	4	4	6	5	9	10	0	20	0
"evm.TU.scaffold_1.1200"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1201"	175	213	144	283	189	176	62	126	77	79	238	55	497	355	235	235	278	355
"evm.TU.scaffold_1.1202"	1484	1190	1005	2484	1242	1477	2319	1828	2624	1979	2297	2460	3811	3665	2509	2184	2046	2656
"evm.TU.scaffold_1.1203"	286	267	278	551	385	537	1139	531	1431	990	942	1341	178	480	594	564	394	356
"evm.TU.scaffold_1.1204"	506	682	686	1027	651	460	178	194	170	135	194	191	354	278	169	77	126	74
"evm.TU.scaffold_1.1205"	491	599	452	947	671	490	1576	595	1273	1185	1039	1435	351	725	579	523	445	361
"evm.TU.scaffold_1.1208"	27	22	41	40	16	20	35	15	17	25	11	49	61	63	11	0	5	7
"evm.TU.scaffold_1.1210"	0	0	0	0	0	3	1	14	1	4	4	21	0	0	0	1	0	0
"evm.TU.scaffold_1.1211"	20	23	13	17	17	6	19	10	7	4	6	22	2	21	2	0	0	7
"evm.TU.scaffold_1.1212"	193	194	161	333	136	184	385	238	253	222	155	358	404	484	203	164	58	164
"evm.TU.scaffold_1.1213"	7	9	20	11	10	21	31	1	20	6	0	28	13	6	1	33	0	2
"evm.TU.scaffold_1.1214"	0	0	0	2	0	3	3	3	1	0	0	2	0	0	0	0	0	0
